meritocracy	ginicnty	income_i	income_cnty	black_cnty	perc_bush04	pop_cnty	educ_i	age_i	gender_i	white	unemp_i	union_i	partyid_i	ideo_i	attend_i	fips	survid2006	survid2007	survid2009
0	0.44927531480789185	0.606155276298523	0.5865588188171387	0.018745535984635353	0.6000000238418579	0.30417534708976746	0.6666666865348816	65	0	1	1	0	0.75	0.5	0	6059	0	1	0
0	0.44927531480789185	0.2123105227947235	0.5865588188171387	0.018745535984635353	0.6000000238418579	0.30417534708976746	0.6666666865348816	72	1	0	1	0	0.75	0.75	0	6059	0	0	1
0	0.44927531480789185	0.9015387892723083	0.5865588188171387	0.018745535984635353	0.6000000238418579	0.30417534708976746	0.8333333134651184	45	1	1	0	0	1	0.75	0.800000011920929	6059	1	0	0
0	0.44927531480789185	0.9015387892723083	0.5865588188171387	0.018745535984635353	0.6000000238418579	0.30417534708976746	0.8333333134651184	39	0	0	0	0	1	0.75	0.800000011920929	6059	1	0	0
0	0.44927531480789185	0.648651123046875	0.5865588188171387	0.018745535984635353	0.6000000238418579	0.30417534708976746	0.6666666865348816	50	0	1	1	0	0.5	0.5	0.6000000238418579	6059	0	0	0
1	0.44927531480789185	0.9015387892723083	0.5865588188171387	0.018745535984635353	0.6000000238418579	0.30417534708976746	0.5	47	1	1	0	0	1	0.5	0.4000000059604645	6059	0	0	1
0	0.32971012592315674	0.9015387892723083	0.5845285058021545	0.01653570681810379	0.6299999952316284	0.03387979418039322	0.1666666716337204	18	0	1	1	0	1	1	1	6061	0	0	1
0	0.32971012592315674	0.8030776381492615	0.5845285058021545	0.01653570681810379	0.6299999952316284	0.03387979418039322	0.3333333432674408	20	1	1	0	0	0	0.75	0	6061	1	0	0
0	0.32971012592315674	0.8030776381492615	0.5845285058021545	0.01653570681810379	0.6299999952316284	0.03387979418039322	1	71	1	1	1	0	0.5	0.5	0.4000000059604645	6061	0	0	1
0	0.32971012592315674	0.2123105227947235	0.5845285058021545	0.01653570681810379	0.6299999952316284	0.03387979418039322	0.3333333432674408	43	1	1	0	1	0.25	0.25	0.4000000059604645	6061	1	0	0
